central_bank,country,year,currency_code,topic_other,topic_international,topic_macro,topic_financial,topic_monetary,topic_fiscal,topic_climate,share_descriptive,share_normative,normative_other,normative_international,normative_macro,normative_financial,normative_monetary,normative_fiscal,normative_climate,monetary_dominance,financial_dominance,fiscal_dominance,monetary_fiscal_coordination,monetary_financial_coordination,financial_dom_or_corp,fiscal_dom_or_corp,number_of_speeches,number_of_sentences,inflation,democracy_ind,polarization_ind,spread,advanced,gdp_real_ppp_capita,fiscal_crisis
bank for international settlements,,1997,,0.09774436090225563,0.08646616541353383,0.06390977443609022,0.4323308270676692,0.3007518796992481,0.015037593984962405,0,0.7969924812030075,0.20300751879699247,0.19230769230769232,0.17391304347826086,0.23529411764705882,0.14782608695652175,0.2875,0,,0.2937062937062937,0.27972027972027974,0.013986013986013986,0,0.4125874125874126,0.6923076923076923,0.013986013986013986,1,266,,,,,,,
bank for international settlements,,1998,,0.11313868613138686,0.14233576642335766,0.06934306569343066,0.6277372262773723,0.025547445255474453,0.021897810218978103,0,0.6204379562043796,0.3795620437956204,0.3225806451612903,0.48717948717948717,0.21052631578947367,0.38372093023255816,0.14285714285714285,0.6666666666666666,,0.03468208092485549,0.4508670520231214,0,0.046242774566473986,0.4682080924855491,0.9190751445086706,0.046242774566473986,3,274,,,,,,,
bank for international settlements,,1999,,0.162534435261708,0.17079889807162535,0.02203856749311295,0.5867768595041323,0.0440771349862259,0.013774104683195593,0,0.7300275482093664,0.2699724517906336,0.3220338983050847,0.14516129032258066,0,0.323943661971831,0.0625,0,,0,0.5508982035928144,0.011976047904191617,0.023952095808383235,0.41317365269461076,0.9640718562874252,0.03592814371257485,2,363,,,,,,,
bank for international settlements,,2000,,0.1838006230529595,0.06697819314641744,0.1043613707165109,0.6012461059190031,0.020249221183800622,0.021806853582554516,0.001557632398753894,0.7180685358255452,0.2819314641744548,0.3135593220338983,0.16279069767441862,0.23880597014925373,0.29533678756476683,0.23076923076923078,0.2857142857142857,0,0,0.44648318042813456,0.01529051987767584,0.03363914373088685,0.5045871559633027,0.9510703363914373,0.04892966360856269,4,642,,,,,,,
bank for international settlements,,2001,,0.1555977229601518,0.036053130929791274,0.020872865275142316,0.698292220113852,0.08918406072106262,0,0,0.6793168880455408,0.3206831119544592,0.4268292682926829,0.2631578947368421,0,0.3125,0.2978723404255319,,,0.03234501347708895,0.3881401617250674,0,0,0.5795148247978437,0.967654986522911,0,3,527,,,,,,,
bank for international settlements,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bank for international settlements,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bank for international settlements,,2004,,0.1310344827586207,0.041379310344827586,0.03103448275862069,0.6103448275862069,0.16206896551724137,0.02413793103448276,0,0.7206896551724138,0.2793103448275862,0.23684210526315788,0.16666666666666666,0.4444444444444444,0.2768361581920904,0.2553191489361702,0.7142857142857143,,0.03070175438596491,0.39035087719298245,0.013157894736842105,0.013157894736842105,0.5526315789473685,0.9429824561403509,0.02631578947368421,1,290,,,,,,,
bank for international settlements,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bank for international settlements,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bank for international settlements,,2007,,0.1044776119402985,0.07462686567164178,0.014925373134328358,0.6567164179104478,0.13432835820895522,0.014925373134328358,0,0.7164179104477612,0.2835820895522388,0.2857142857142857,0.4,0,0.3181818181818182,0.1111111111111111,0,,0.1,0.52,0,0.02,0.36,0.88,0.02,1,67,,,,,,,
bank for international settlements,,2008,,0.7441860465116279,0.046511627906976744,0.11627906976744186,0.011627906976744186,0.05813953488372093,0.023255813953488372,0,0.8255813953488372,0.1744186046511628,0.203125,0,0,0,0.4,0,,0,0,1,0,0,0,1,1,86,,,,,,,
bank for international settlements,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bank for international settlements,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bank for international settlements,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bank for international settlements,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bank for international settlements,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bank for international settlements,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
